MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2015,1159,8,XTO ENERGY INC.,10/23/2015,Producer,ANDREWS,1770,0,0,Crude,95,90,5,Tank Battery,Equipment Failure,Other,None,,"SEC 17, BLK 13, UNIVERSITY LANDS","VAC TRUCK, CONTAMINATED SOIL REMOVED & PLACED ON PLASTIC",FULLERTON CLEARFORK UNIT,FULLERTON
2015,1252,8,APACHE CORPORATION,10/23/2015,Producer,CRANE,20377,0,0,Crude,20,10,10,Tank Battery,Equipment Failure,Other,None,,"31.4681, -102.3576","FREE FLUIDS RECOVERED, SOILS WILL BE TILLED",NORTH MCELROY UNIT,MCELROY
2015,1073,7B,SCHKADE PRODUCTION CO.,10/23/2015,Producer,TAYLOR,10446,0,0,Crude,28,0,28,Tank Battery,Act of God,Other,None,,"SUR 85, T&P RR CO BLOCK 14",NONE NEEDED,JONES INC.,TAYLOR COUNTY REGULAR
2015,1322,6,"VERADO ENERGY, INC.",10/23/2015,Producer,GREGG,0,0,5363,Gas Well Liquid,94,0,94,Tank Battery,Act of God,Other,None,,GEORGE A. THOMASON SUR A-200,"FIBERGLASS TANK BURNED, GLADEWATER FIRE DEPT PUT FIRE OUT.","MILLER, JANA UNIT",NO FIELD NAME
2015,1104,8,ENTERPRISE CRUDE PIPELINE LLC,10/22/2015,Transporter,MIDLAND,0,0,0,Crude,100,92,8,Tank Battery,Corrosion - Rust,Other,None,,"32.021937, -102.016177","VAC TRUCK, REMEDIATION","CAMPBELL, SETH",NO FIELD NAME
2015,1106,8,"BLUCO PRODUCTION CO., INC.",10/22/2015,Producer,ECTOR,29867,0,0,Crude,130,50,80,Tank Battery,Equipment Failure,Other,None,,"SEC 9, BLK 42, T-3-S","VAC UP, REMEDIATION, CLEAN SOIL WITH HUMATES & OR MICROBES",CHASE -B-,"COWDEN, SOUTH"
2015,1077,10,"SAMSON LONE STAR, LLC",10/22/2015,Producer,HEMPHILL,0,202318,0,Crude,50,0,50,Tank Battery,Act of God,Other,None,,"SEC 20, BLK A1 H&GN RR CO SVY",REMEDIATION,HOBART RANCH 20,HEMPHILL (GRANITE WASH.)
2015,1085,8,OCCIDENTAL PERMIAN LTD.,10/22/2015,Producer,MARTIN,40691,0,0,Combined,50,40,10,Tank Battery,Equipment Failure,Other,None,,SOUTH CURTIS RANCH,RECOVER FLUIDS & REMEDIATION IN PLACE,SOUTH CURTIS RANCH,SPRABERRY (TREND AREA)
2015,1460,8,ENERGEN RESOURCES CORPORATION,10/22/2015,Producer,GLASSCOCK,47436,0,0,Crude,8,7,1,Tank Battery,Equipment Failure,Other,None,,"31.688903, -101.441908","RESTORE POWER TO THE AIR COMPRESSOR, PICK UP FREESTANDING FLUID",SABINE A NS 35-38 01,SPRABERRY (TREND AREA)
2015,1190,7C,BMD REAGAN LLC,10/22/2015,Other,REAGAN,18470,0,0,Crude,350,350,0,Tank Battery,Act of God,Other,None,,"SEC 14, BLK A, SUR L& SV RR CO","FIRE PUT OUT, FLUIDS DISPOSED OF, DAMAGED TANKS & PIPING REMOVED",REAGAN 375 SWD,SPRABERRY (TREND AREA)
2015,1177,7C,"PIONEER NATURAL RES. USA, INC.",10/22/2015,Producer,UPTON,17679,0,0,Crude,10,0,10,Tank Battery,Act of God,Other,River,RANKINDRAW,"31.238693, -101.91276","EXCAVATED & BLENDED WITH FRESH SOIL, BIOLOGICAL REMEDIATION AID","HUCKABY ""26""",SHEEP MOUNTAIN (CONSOLIDATED)
2015,1140,8,OXY USA INC.,10/21/2015,Producer,GLASSCOCK,40056,0,0,Crude,17,15,2,Tank Battery,Equipment Failure,Other,None,,"SEC 13, BLK 35, SUR WADE RR CO ABS 529",ON SITE BIOREMEDIATION,NELSON,SPRABERRY (TREND AREA)
2015,1310,1,"VIRTEX OPERATING COMPANY, INC.",10/21/2015,Producer,FRIO,17569,0,0,Crude,144,0,144,Tank Battery,Theft,Other,None,,"323, SOLETO B, A-596",CALL TO THE COUNTY SHERIFF MADE,BURLESON,DOERING RANCH (GEORGETOWN)
2015,1049,8,ENDEAVOR ENERGY RESOURCES L.P.,10/21/2015,Producer,MARTIN,40955,0,0,Crude,20,0,20,Flow Line,Equipment Failure,Other,None,,"32.394033, -101.769657",REMEDIATION IN PROGRESS,"BLAGRAVE ""54-59""",SPRABERRY (TREND AREA)
2015,1567,6,SABINE OIL & GAS CORPORATION,10/20/2015,Producer,RUSK,0,264939,0,Combined,70,0,70,Tank Battery,Vandalism,Other,None,,"JACOBS, W. A-464","VAC TRUCK, SCRAPING, HAULING OFFISITE.",FISCHER-REDWINE,"HENDERSON, E. (COTTON VALLEY)"
2015,1575,6,SABINE OIL & GAS CORPORATION,10/20/2015,Producer,RUSK,0,273151,0,Combined,145,0,145,Tank Battery,Vandalism,Other,None,,"MALONE, J., A-595","VAC, BACK SCRAPING, HAULED OFF",LAKE-HINSON,"HENDERSON, E. (COTTON VALLEY)"
2015,1574,6,SABINE OIL & GAS CORPORATION,10/20/2015,Producer,RUSK,0,276297,0,Combined,195,0,195,Tank Battery,Vandalism,Other,None,,"ENGLISH, S. A-263","PULLING OIL OUT, AIRED OUT, INCORPORATED, BACKSCRAPED",LAKE-HINSON,"HENDERSON, E. (COTTON VALLEY)"
2015,1086,8,"SANDRIDGE EXPL. AND PROD., LLC",10/20/2015,Producer,ANDREWS,44029,0,0,Crude,17,16,1,Tank Battery,Equipment Failure,Other,None,,"SEC 39, BLK 13, UL, U431",FREE LIQUIDS REMOVED & THE SOIL REMEDIATED,UNIVERSITY 13-39,FUHRMAN-MASCHO
2015,1573,6,SABINE OIL & GAS CORPORATION,10/20/2015,Producer,RUSK,0,218927,0,Combined,158,158,0,Tank Battery,Vandalism,Other,None,,"AW O'HAIR, A-615","VAC, BACK SCRAPING, HAULING MATERIALS OFFISTE",FISCHER-REDWINE,"HENDERSON, E. (COTTON VALLEY)"
2015,1571,6,SABINE OIL & GAS CORPORATION,10/20/2015,Producer,RUSK,0,271213,0,Combined,224,0,224,Tank Battery,Vandalism,Other,None,,"A O'HAIR, A-615","WELL PAD IS SOIL CEMENTED, VAC, ABSORBENTS, BACK SCRAPE, HAUL OFF ",REDWINE-ALEXANDER,"HENDERSON, E. (COTTON VALLEY)"
2015,1089,8,DIAMONDBACK E&P LLC,10/20/2015,Producer,MIDLAND,40744,0,0,Crude,10,5,5,Tank Battery,Corrosion - Rust,Repaired Existing Equipment,None,,"SEC 12, A-1668, BLK 3, T2N T&P RR CO SUR","STANDING LIQUID WAS PICKED UP, HEATER WILL BE REPAIRED",GRANTHAM 12,SPRABERRY (TREND AREA)
2015,1507,6,SABINE OIL & GAS CORPORATION,10/20/2015,Producer,RUSK,15196,0,0,Crude,52,0,52,Tank Battery,Vandalism,Other,None,,"4, PENA A V A-27","VAC, BACKSCRAPED WELLPAD TO CLEAN SOIL CEMENT AND PILED UP",ALEXANDER HEIRS GAS UNIT,HENDERSON (RUSK CO. PETTIT)
2015,1572,6,SABINE OIL & GAS CORPORATION,10/20/2015,Producer,RUSK,0,246026,0,Combined,97,0,97,Tank Battery,Vandalism,Other,None,,"SEC 4, PENA, MV, A-27","VAC, BACK SCRAPING, HAULED OFF SITE,",ALEXANDER HEIRS GAS UNIT,"HENDERSON, E. (COTTON VALLEY)"
2015,1312,1,CABOT OIL & GAS CORPORATION,10/19/2015,Producer,FRIO,18545,0,0,Crude,8,7,1,Tank Battery,Equipment Failure,Other,None,,"28.7753, -98.8096",MONITORED IN SITE FOR BIOREMEDIATION PURPOSE,SHEEPFOOT 1H,BRISCOE RANCH (EAGLEFORD)
